route_category,Year/Month,Sum of Sum of otp_numerator,Sum of Sum of otp_denominator
Blue Line,2016/01,583193.465,628864.108
Blue Line,2016/02,558127.959,603353.61
Blue Line,2016/03,651869.797,714329.801
Blue Line,2016/04,798160.419,864040.69
Blue Line,2016/05,996304.386,1077595.54
Blue Line,2016/06,1037497.48,1110441.69
Blue Line,2016/07,987853.34,1081615.91
Blue Line,2016/08,1076924.68,1142411.46
Blue Line,2016/09,972988.06,1035158.4
Blue Line,2016/10,1507382.85,1606031.86
Blue Line,2016/11,1643676.6,1751072.15
Blue Line,2016/12,1679053.02,1791371.53
Blue Line,2017/01,1499113.157,1564926.504
Blue Line,2017/02,1064782.355,1126758.221
Blue Line,2017/03,1816939.989,1879951.864
Blue Line,2017/04,1789953.23,1850236.11
Blue Line,2017/05,1916436.9,1983148.27
Blue Line,2017/06,1815910.25,1898050.78
Blue Line,2017/07,1794971.33,1900084.89
Blue Line,2017/08,1834298.02,1941817.76
Blue Line,2017/09,1743256.43,1827901.31
Blue Line,2017/10,1832190.25,1907611.62
Blue Line,2017/11,1839323.8,1910119.65
Blue Line,2017/12,1830334.42,1908435.97
Blue Line,2018/01,1454687.267,1581382.79
Blue Line,2018/02,1359927.41,1429133.75
Blue Line,2018/03,1511406.53,1590104.99
Blue Line,2018/04,1461801.73,1521704.28
Blue Line,2018/05,1540986.16,1606492.91
Blue Line,2018/06,1450383.92,1520692.84
Blue Line,2018/07,1458023.65,1545919.16
Blue Line,2018/08,1446226.17,1548310.62
Blue Line,2018/09,1529854.16,1614550.19
Blue Line,2018/10,1479348.73,1561575.42
Blue Line,2018/11,1653641.031,1756517.75
Blue Line,2018/12,1736887.39,1859393.8
Blue Line,2019/01,1853600.43,1952610.18
Blue Line,2019/02,1625241.78,1707704.02
Blue Line,2019/03,1728472.1,1824352.68
Blue Line,2019/04,1801168.14,1884558.75
Blue Line,2019/05,1885594.94,1960334.54
Blue Line,2019/06,1657597.74,1738591.67
Blue Line,2019/07,1838199.97,1947210.33
Blue Line,2019/08,1838821.41,1934449.44
Blue Line,2019/09,1737417.43,1833948.3
Blue Line,2019/10,1865991.14,1966150.59
Blue Line,2019/11,1752912.25,1862890.04
Blue Line,2019/12,1804237.17,1898168.52
Blue Line,2020/01,1888200.29,1949824.05
Blue Line,2020/02,1746810.02,1795462.26
Blue Line,2020/03,1849818.87,1916406.31
Blue Line,2020/04,1794080.51,1864914.87
Blue Line,2020/05,1016589.314,1048203.961
Blue Line,2020/06,1818391.62,1872278.12
Blue Line,2020/07,1903166.01,1965973.99
Blue Line,2020/08,1592030.95,1655010.439
Blue Line,2020/09,1835913.98,1893247.49
Blue Line,2020/10,1871178.83,1932872.9
Blue Line,2020/11,1789554.9,1855218.23
Blue Line,2020/12,1887078.05,1958523.55
Blue Line,2021/01,1846436.18,1900983.42
Blue Line,2021/02,1694387.67,1747873.39
Blue Line,2021/03,1897060.3,1955164.54
Blue Line,2021/04,1855970.17,1889197.89
Blue Line,2021/05,1823899.58,1864632.78
Blue Line,2021/06,1817754.7,1871370.99
Blue Line,2021/07,1876667.07,1933700.32
Blue Line,2021/08,1872004.25,1925186.98
Blue Line,2021/09,1814840.23,1879936.84
Blue Line,2021/10,1702373.99,1777698.869
Blue Line,2021/11,1797074.54,1882292.68
Blue Line,2021/12,1861599.43,1927460.64
Blue Line,2022/01,1748305.719,1835655.545
Blue Line,2022/02,1675896.24,1739288.19
Blue Line,2022/03,1896656.23,1947754.86
Blue Line,2022/04,1432887.279,1467261.711
Blue Line,2022/05,578058.6456,645796.6327
Blue Line,2022/06,1551060.319,1667728.27
Blue Line,2022/07,1801854.47,1893340.24
Blue Line,2022/08,1861599.657,1948222.307
Blue Line,2022/09,1812292.066,1884340.871
Blue Line,2022/10,1814016.015,1882281.083
Blue Line,2022/11,1775799.083,1852802.935
Blue Line,2022/12,1819523.191,1928184.863
Blue Line,2023/01,1814497.167,1920693.446
Blue Line,2023/02,1623845.057,1732801.574
Blue Line,2023/03,1605353.618,1910176.938
Blue Line,2023/04,1496794.573,1739244.923
Blue Line,2023/05,1676701.416,1911586.721
Blue Line,2023/06,1656929.374,1868407.442
Blue Line,2023/07,1814394.064,1891793.577
Blue Line,2023/08,1853976.503,1953501.252
Blue Line,2023/09,1754189.014,1844119.343
Blue Line,2023/10,1723500.634,1817219.865
Blue Line,2023/11,1738217.148,1815051.884
Blue Line,2023/12,1727961.38,1819413.757
Blue Line,2024/01,1702346.047,1811721.154
Blue Line,2024/02,1605195.902,1675910.514
Blue Line,2024/03,1529989.776,1617537.576
Blue Line,2024/04,1062808.273,1148450.535
Blue Line,2024/05,1469108.563,1554708.755
Green Line,2016/01,161379.7261,221500.4929
Green Line,2016/02,666339.172,977304.7365
Green Line,2016/03,1382169.812,2049425.603
Green Line,2016/04,1709713.353,2347937.969
Green Line,2016/05,2194803.516,2995383.926
Green Line,2016/06,2137823.173,2974780.287
Green Line,2016/07,2525461.811,3444138.723
Green Line,2016/08,2628737.884,3557877.132
Green Line,2016/09,2448002.956,3263667.233
Green Line,2016/10,3362158.15,4493015.488
Green Line,2016/11,3531403.363,4740887.468
Green Line,2016/12,3629184.15,4801896.926
Green Line,2017/01,3813725.377,4959708.587
Green Line,2017/02,841052.957,1089436.09
Green Line,2017/03,3747738.65,4716659.359
Green Line,2017/04,3714746.508,4721026.512
Green Line,2017/05,3948021.581,5103439.419
Green Line,2017/06,3861590.205,4921245.095
Green Line,2017/07,3863135.157,4911374.63
Green Line,2017/08,3757015.52,4823342.023
Green Line,2017/09,3733393.635,4739955.255
Green Line,2017/10,3870552.133,5003016.011
Green Line,2017/11,3750346.997,4843014.469
Green Line,2017/12,3688841.737,4882132.407
Green Line,2018/01,3654320.924,4890626.669
Green Line,2018/02,3603118.87,4583615.38
Green Line,2018/03,3998022.44,5077685.597
Green Line,2018/04,4243444.06,5277005.86
Green Line,2018/05,4250173.528,5484254.29
Green Line,2018/06,3823780.736,5038476.886
Green Line,2018/07,3926552.938,5154457.096
Green Line,2018/08,3834310.573,5108607.136
Green Line,2018/09,3219267.734,4070446.429
Green Line,2018/10,2701046.773,3528933.249
Green Line,2018/11,2568747.329,3334725.633
Green Line,2018/12,2624374.159,3391119.796
Green Line,2019/01,2652970.223,3466063.653
Green Line,2019/02,2391463.226,3108886.187
Green Line,2019/03,2679469.577,3381934.669
Green Line,2019/04,2659974.241,3290827.083
Green Line,2019/05,2885287.877,3467500.782
Green Line,2019/06,2634224.801,3205045.995
Green Line,2019/07,2812316.741,3480528.019
Green Line,2019/08,2710392.904,3351953.912
Green Line,2019/09,2660096.84,3250158.3
Green Line,2019/10,2687463.399,3357918.772
Green Line,2019/11,2610289.856,3224857.52
Green Line,2019/12,2643062.481,3333408.9
Green Line,2020/01,2845426.46,3445433.605
Green Line,2020/02,2531449.159,3121265.2
Green Line,2020/03,2831927.283,3406800.83
Green Line,2020/04,2838636.314,3482748.39
Green Line,2020/05,2836365.188,3377857.047
Green Line,2020/06,2183330.383,2769249.256
Green Line,2020/07,2364255.773,2938401.711
Green Line,2020/08,2143855.373,2702727.661
Green Line,2020/09,2520290.124,3137081.935
Green Line,2020/10,2465601.738,3105533.016
Green Line,2020/11,2400337.734,3003200.955
Green Line,2020/12,2609615.047,3312297.885
Green Line,2021/01,2668822.415,3230438.249
Green Line,2021/02,2332417.425,2880063.248
Green Line,2021/03,2707864.572,3206522.596
Green Line,2021/04,2437953.402,2899454.803
Green Line,2021/05,2378121.21,2835341.869
Green Line,2021/06,2320547.602,2772443.085
Green Line,2021/07,2549984.822,3054528.401
Green Line,2021/08,2401288.867,2949006.074
Green Line,2021/09,2511517.741,3078541.412
Green Line,2021/10,2235856.409,2831156.306
Green Line,2021/11,2368541.493,3035040.567
Green Line,2021/12,2506399.021,3204796.743
Green Line,2022/01,2308586.601,3062035.353
Green Line,2022/02,2184931.602,2838680.191
Green Line,2022/03,2368347.636,3044127.279
Green Line,2022/04,2287252.659,2888198.719
Green Line,2022/05,2566797.294,3197465.136
Green Line,2022/06,2387680.586,2934328.292
Green Line,2022/07,2421319.32,3032674.94
Green Line,2022/08,1999430.466,2653964.677
Green Line,2022/09,1849856.458,2533470.609
Green Line,2022/10,2140112.029,2832342.942
Green Line,2022/11,2449012.358,3151170.186
Green Line,2022/12,2518597.317,3262505.31
Green Line,2023/01,2501711.462,3152706.684
Green Line,2023/02,2257310.788,2863401.15
Green Line,2023/03,2587950.34,3264130.417
Green Line,2023/04,2389727.432,2979461.322
Green Line,2023/05,2607277.981,3258858.977
Green Line,2023/06,2064765.186,2751816.377
Green Line,2023/07,2285168.866,2881981.435
Green Line,2023/08,2350371.267,3101880.22
Green Line,2023/09,2142674.133,2868677.793
Green Line,2023/10,2257457.654,2961073.75
Green Line,2023/11,2138018.129,2703776.659
Green Line,2023/12,1844986.54,2389733.868
Green Line,2024/01,761516.9196,978478.1702
Green Line,2024/02,1962374.186,2429060.671
Green Line,2024/03,1991400.013,2504200.461
Green Line,2024/04,2231591.585,2882158.341
Green Line,2024/05,2180063.375,2738579.422
Orange Line,2016/01,3169857.71,3413800.83
Orange Line,2016/02,2584630.7,2797446.73
Orange Line,2016/03,2385061.142,2632241.21
Orange Line,2016/04,2464647.91,2648941.27
Orange Line,2016/05,2837219.35,3073198.29
Orange Line,2016/06,2891866.12,3117915.93
Orange Line,2016/07,3179162.13,3376631.84
Orange Line,2016/08,3135343.61,3373546.1
Orange Line,2016/09,2731729.45,2954207.29
Orange Line,2016/10,3650719.45,3937340.77
Orange Line,2016/11,3904772.49,4186989.78
Orange Line,2016/12,3999330.31,4298843.55
Orange Line,2017/01,4083972.19,4313815.21
Orange Line,2017/02,3263168.54,3434519.52
Orange Line,2017/03,4553565.63,4779257.96
Orange Line,2017/04,4084666.74,4294921.65
Orange Line,2017/05,4474213.28,4698782.84
Orange Line,2017/06,4223304.34,4480597.05
Orange Line,2017/07,4015905.52,4336003.63
Orange Line,2017/08,4136950.83,4523399.63
Orange Line,2017/09,3682109.63,4083281.64
Orange Line,2017/10,3990945.87,4339865.07
Orange Line,2017/11,4002743.51,4375672.94
Orange Line,2017/12,4108392.16,4507195.4
Orange Line,2018/01,3982751.45,4410413.57
Orange Line,2018/02,3983430.4,4233451.38
Orange Line,2018/03,4470493.14,4744338.78
Orange Line,2018/04,4295293.36,4548110.57
Orange Line,2018/05,4591332.6,4833744.65
Orange Line,2018/06,3978843.13,4237739.85
Orange Line,2018/07,2500396.1,2811429.57
Orange Line,2018/08,2485902.012,2756432.88
Orange Line,2018/09,2885334.21,3226368.22
Orange Line,2018/10,3189635.99,3551732.14
Orange Line,2018/11,3744946.94,4136357.65
Orange Line,2018/12,3960023.13,4289026.5
Orange Line,2019/01,4112721.49,4496166.18
Orange Line,2019/02,3622014.43,3954847.56
Orange Line,2019/03,3972400.16,4279206.77
Orange Line,2019/04,3997635.03,4265621.11
Orange Line,2019/05,4209449.68,4461074.41
Orange Line,2019/06,3781381.44,4056029.69
Orange Line,2019/07,3962784.62,4375119.67
Orange Line,2019/08,3609165.25,4121135.63
Orange Line,2019/09,3658325.91,4003180.23
Orange Line,2019/10,3605409.005,3974108.584
Orange Line,2019/11,3497847.528,3957256.152
Orange Line,2019/12,3911636.69,4342048.99
Orange Line,2020/01,4031404.462,4342157.933
Orange Line,2020/02,3593288.274,3869118.866
Orange Line,2020/03,4103834.94,4414450.17
Orange Line,2020/04,3921214.74,4379430.84
Orange Line,2020/05,4128371.04,4341449.33
Orange Line,2020/06,4164091.72,4380519.34
Orange Line,2020/07,4089554.75,4508962.83
Orange Line,2020/08,3872189.98,4266748.76
Orange Line,2020/09,4012982.63,4356349.33
Orange Line,2020/10,3957076.29,4358588.11
Orange Line,2020/11,3580595.56,4032499.9
Orange Line,2020/12,3869060.792,4391201.386
Orange Line,2021/01,4017811.09,4334796.68
Orange Line,2021/02,3487193.3,3934869.97
Orange Line,2021/03,2899731.18,3570480.48
Orange Line,2021/04,3349294.73,3780082.03
Orange Line,2021/05,4066764.84,4337369.31
Orange Line,2021/06,3772368.41,4165819.5
Orange Line,2021/07,3962824.32,4390250.96
Orange Line,2021/08,4059127.46,4442294.14
Orange Line,2021/09,3962015.63,4337255.92
Orange Line,2021/10,3675374.107,4048216.226
Orange Line,2021/11,3962922.37,4329117.65
Orange Line,2021/12,4073623.65,4501981.46
Orange Line,2022/01,3757378.63,4262200.08
Orange Line,2022/02,3485422.807,3927570.54
Orange Line,2022/03,3682092.969,4047221.217
Orange Line,2022/04,3828384.1,4164151.15
Orange Line,2022/05,4054682.49,4442018.86
Orange Line,2022/06,3588711.161,4023587.792
Orange Line,2022/07,3470032.701,4057013.886
Orange Line,2022/08,2477838.558,2741743.664
Orange Line,2022/09,1485763.517,1801488.313
Orange Line,2022/10,3718796.211,4011395.627
Orange Line,2022/11,3726539.378,4036451.722
Orange Line,2022/12,3621191.529,4069999.829
Orange Line,2023/01,3335954.858,3846858.495
Orange Line,2023/02,3205611.329,3532825.715
Orange Line,2023/03,3632531.755,4183061.431
Orange Line,2023/04,3384908.376,3679495.276
Orange Line,2023/05,3995138.482,4163408.797
Orange Line,2023/06,3676467.293,3811828.951
Orange Line,2023/07,3661795.875,3901059.68
Orange Line,2023/08,3850545.267,4075308.756
Orange Line,2023/09,3568201.311,3757932.346
Orange Line,2023/10,3888359.853,4080751.721
Orange Line,2023/11,3936766.512,4176738.732
Orange Line,2023/12,3897864.259,4108019.81
Orange Line,2024/01,4029858.292,4331781.328
Orange Line,2024/02,3773183.399,3998092.021
Orange Line,2024/03,3073816.321,3243983.271
Orange Line,2024/04,3616724.668,3861244.523
Orange Line,2024/05,3308810.656,3480192.091
Red Line,2016/01,4319466.71,5015627.97
Red Line,2016/02,3742360.56,4305699.45
Red Line,2016/03,3114308.03,3613670.34
Red Line,2016/04,3138435.03,3570480.86
Red Line,2016/05,4209821.69,4612655.94
Red Line,2016/06,4339467.07,4688069.79
Red Line,2016/07,3863540.661,4236087.494
Red Line,2016/08,4357151.26,4752225.96
Red Line,2016/09,3827290.97,4190930.31
Red Line,2016/10,4537583.78,5050406.6
Red Line,2016/11,3653524.45,4051390.89
Red Line,2016/12,4075181.38,4460953.19
Red Line,2017/01,4106657.26,4398469.54
Red Line,2017/02,3062167.42,3287686.04
Red Line,2017/03,4358677.76,4693556.99
Red Line,2017/04,4101665.75,4379624.1
Red Line,2017/05,4422484.85,4741969.61
Red Line,2017/06,4301681.2,4594696.68
Red Line,2017/07,4260182.06,4570229.68
Red Line,2017/08,4483936.83,4779718.51
Red Line,2017/09,4257458.83,4624718.96
Red Line,2017/10,4306772.44,4654236.21
Red Line,2017/11,4243662.04,4618376.07
Red Line,2017/12,4178971.05,4653161.07
Red Line,2018/01,4256728.42,4719943.2
Red Line,2018/02,3765114.62,4112377.27
Red Line,2018/03,4361457.46,4795475.5
Red Line,2018/04,4004308.35,4388462.52
Red Line,2018/05,4231251.94,4731603.847
Red Line,2018/06,4170892.08,4623336.83
Red Line,2018/07,4300482.19,4699186.22
Red Line,2018/08,4469739.66,4890083.02
Red Line,2018/09,4281568.62,4748960.7
Red Line,2018/10,4680097.85,5537984.12
Red Line,2018/11,4974955.27,5497983.98
Red Line,2018/12,5274274.04,5737874.43
Red Line,2019/01,5561733.6,6080771.7
