Year/Mont,route_or_line,average_monthly_ridership,countofdates,ObjectId
2016/01,Blue Line,50652,31,51
2016/02,Blue Line,52322,29,62
2016/03,Blue Line,56676,31,73
2016/04,Blue Line,59070,30,84
2016/05,Blue Line,58012,31,95
2016/06,Blue Line,62113,30,156
2016/07,Blue Line,60472,31,167
2016/08,Blue Line,60612,31,179
2016/09,Blue Line,61134,30,190
2016/10,Blue Line,58798,31,310
2016/11,Blue Line,56512,30,311
2016/12,Blue Line,51399,31,323
2017/01,Blue Line,50078,33,334
2017/02,Blue Line,50253,28,345
2017/03,Blue Line,54063,31,205
2017/04,Blue Line,57574,30,216
2017/05,Blue Line,58368,31,227
2017/06,Blue Line,63452,30,238
2017/07,Blue Line,60726,31,8
2017/08,Blue Line,61624,31,10
2017/09,Blue Line,61466,30,21
2017/10,Blue Line,61693,31,32
2017/11,Blue Line,57207,30,43
2017/12,Blue Line,50065,31,354
2018/01,Blue Line,47365,33,365
2018/02,Blue Line,54029,28,376
2018/03,Blue Line,53152,31,387
2018/04,Blue Line,59066,30,398
2018/05,Blue Line,61752,31,109
2018/06,Blue Line,62869,30,120
2018/07,Blue Line,60371,31,131
2018/08,Blue Line,58838,31,140
2018/09,Blue Line,58609,30,149
2018/10,Blue Line,61318,31,258
2018/11,Blue Line,55278,30,267
2018/12,Blue Line,49487,31,276
2019/01,Blue Line,51822,31,285
2019/02,Blue Line,52668,28,294
2019/03,Blue Line,52867,31,505
2019/04,Blue Line,59256,30,523
2019/05,Blue Line,59963,31,541
2019/06,Blue Line,60600,30,552
2019/07,Blue Line,64096,31,561
2019/08,Blue Line,62643,31,570
2019/09,Blue Line,63992,30,607
2019/10,Blue Line,63552,31,616
2019/11,Blue Line,56406,30,625
2019/12,Blue Line,52468,31,634
2020/01,Blue Line,56833,31,643
2020/02,Blue Line,55419,29,452
2020/03,Blue Line,31953,31,461
2020/04,Blue Line,6813,30,471
2020/05,Blue Line,5200,31,480
2020/06,Blue Line,14003,30,489
2020/07,Blue Line,19411,31,498
2020/08,Blue Line,18554,31,512
2020/09,Blue Line,23274,30,530
2020/10,Blue Line,22549,31,574
2020/11,Blue Line,20143,30,583
2020/12,Blue Line,18068,31,592
2021/01,Blue Line,18585,31,751
2021/02,Blue Line,19734,28,760
2021/03,Blue Line,22262,31,769
2021/04,Blue Line,24418,30,778
2021/05,Blue Line,26347,31,787
2021/06,Blue Line,30647,30,796
2021/07,Blue Line,31862,31,705
2021/08,Blue Line,33119,31,714
2021/09,Blue Line,37414,30,723
2021/10,Blue Line,37535,31,732
2021/11,Blue Line,34122,30,741
2021/12,Blue Line,31493,31,750
2022/01,Blue Line,25722,31,409
2022/02,Blue Line,31707,28,418
2022/03,Blue Line,35898,31,427
2022/04,Blue Line,33976,30,436
2022/05,Blue Line,26065,31,445
2022/06,Blue Line,38402,30,654
2022/07,Blue Line,38968,31,663
2022/08,Blue Line,39631,31,672
2022/09,Blue Line,43929,30,681
2022/10,Blue Line,42534,31,690
2022/11,Blue Line,39821,30,700
2022/12,Blue Line,35359,31,938
2023/01,Blue Line,36004,31,947
2023/02,Blue Line,37976,28,956
2023/03,Blue Line,40967,31,965
2023/04,Blue Line,40869,30,974
2023/05,Blue Line,44476,31,983
2023/06,Blue Line,45378,30,992
2023/07,Blue Line,45760,31,805
2023/08,Blue Line,48872,31,814
2023/09,Blue Line,45067,30,823
2023/10,Blue Line,45890,31,832
2023/11,Blue Line,42756,30,841
2023/12,Blue Line,38170,31,850
2024/01,Blue Line,36693,31,860
2024/02,Blue Line,38868,29,868
2024/03,Blue Line,40634,31,877
2024/04,Blue Line,34057,30,886
2024/05,Blue Line,44305,31,895
2024/06,Blue Line,44828,30,904
2024/07,Blue Line,46695,31,913
2024/08,Blue Line,39420,31,922
2016/01,Green Line,152811,31,57
2016/02,Green Line,166110,29,68
2016/03,Green Line,174640,31,79
2016/04,Green Line,186293,30,90
2016/05,Green Line,168334,31,151
2016/06,Green Line,174814,30,162
2016/07,Green Line,166916,31,174
2016/08,Green Line,164410,31,185
2016/09,Green Line,178839,30,196
2016/10,Green Line,174412,31,305
2016/11,Green Line,164997,30,318
