year_month,route_or_line,average_monthly_ridership,countofdates,ObjectId,expected_time,actual_time
2016/01,Blue Line,50652,31,51,583193.465,628864.108
2016/02,Blue Line,52322,29,62,558127.959,603353.61
2016/03,Blue Line,56676,31,73,651869.797,714329.801
2016/04,Blue Line,59070,30,84,798160.419,864040.69
2016/05,Blue Line,58012,31,95,996304.386,1077595.54
2016/06,Blue Line,62113,30,156,1037497.48,1110441.69
2016/07,Blue Line,60472,31,167,987853.34,1081615.91
2016/08,Blue Line,60612,31,179,1076924.68,1142411.46
2016/09,Blue Line,61134,30,190,972988.06,1035158.4
2016/10,Blue Line,58798,31,310,1507382.85,1606031.86
2016/11,Blue Line,56512,30,311,1643676.6,1751072.15
2016/12,Blue Line,51399,31,323,1679053.02,1791371.53
2017/01,Blue Line,50078,33,334,1499113.157,1564926.504
2017/02,Blue Line,50253,28,345,1064782.355,1126758.221
2017/03,Blue Line,54063,31,205,1816939.989,1879951.864
2017/04,Blue Line,57574,30,216,1789953.23,1850236.11
2017/05,Blue Line,58368,31,227,1916436.9,1983148.27
2017/06,Blue Line,63452,30,238,1815910.25,1898050.78
2017/07,Blue Line,60726,31,8,1794971.33,1900084.89
2017/08,Blue Line,61624,31,10,1834298.02,1941817.76
2017/09,Blue Line,61466,30,21,1743256.43,1827901.31
2017/10,Blue Line,61693,31,32,1832190.25,1907611.62
2017/11,Blue Line,57207,30,43,1839323.8,1910119.65
2017/12,Blue Line,50065,31,354,1830334.42,1908435.97
2018/01,Blue Line,47365,33,365,1454687.267,1581382.79
2018/02,Blue Line,54029,28,376,1359927.41,1429133.75
2018/03,Blue Line,53152,31,387,1511406.53,1590104.99
2018/04,Blue Line,59066,30,398,1461801.73,1521704.28
2018/05,Blue Line,61752,31,109,1540986.16,1606492.91
2018/06,Blue Line,62869,30,120,1450383.92,1520692.84
2018/07,Blue Line,60371,31,131,1458023.65,1545919.16
2018/08,Blue Line,58838,31,140,1446226.17,1548310.62
2018/09,Blue Line,58609,30,149,1529854.16,1614550.19
2018/10,Blue Line,61318,31,258,1479348.73,1561575.42
2018/11,Blue Line,55278,30,267,1653641.031,1756517.75
2018/12,Blue Line,49487,31,276,1736887.39,1859393.8
2019/01,Blue Line,51822,31,285,1853600.43,1952610.18
2019/02,Blue Line,52668,28,294,1625241.78,1707704.02
2019/03,Blue Line,52867,31,505,1728472.1,1824352.68
2019/04,Blue Line,59256,30,523,1801168.14,1884558.75
2019/05,Blue Line,59963,31,541,1885594.94,1960334.54
2019/06,Blue Line,60600,30,552,1657597.74,1738591.67
2019/07,Blue Line,64096,31,561,1838199.97,1947210.33
2019/08,Blue Line,62643,31,570,1838821.41,1934449.44
2019/09,Blue Line,63992,30,607,1737417.43,1833948.3
2019/10,Blue Line,63552,31,616,1865991.14,1966150.59
2019/11,Blue Line,56406,30,625,1752912.25,1862890.04
2019/12,Blue Line,52468,31,634,1804237.17,1898168.52
2020/01,Blue Line,56833,31,643,1888200.29,1949824.05
2020/02,Blue Line,55419,29,452,1746810.02,1795462.26
2020/03,Blue Line,31953,31,461,1849818.87,1916406.31
2020/04,Blue Line,6813,30,471,1794080.51,1864914.87
2020/05,Blue Line,5200,31,480,1016589.314,1048203.961
2020/06,Blue Line,14003,30,489,1818391.62,1872278.12
2020/07,Blue Line,19411,31,498,1903166.01,1965973.99
2020/08,Blue Line,18554,31,512,1592030.95,1655010.439
2020/09,Blue Line,23274,30,530,1835913.98,1893247.49
2020/10,Blue Line,22549,31,574,1871178.83,1932872.9
2020/11,Blue Line,20143,30,583,1789554.9,1855218.23
2020/12,Blue Line,18068,31,592,1887078.05,1958523.55
2021/01,Blue Line,18585,31,751,1846436.18,1900983.42
2021/02,Blue Line,19734,28,760,1694387.67,1747873.39
2021/03,Blue Line,22262,31,769,1897060.3,1955164.54
2021/04,Blue Line,24418,30,778,1855970.17,1889197.89
2021/05,Blue Line,26347,31,787,1823899.58,1864632.78
2021/06,Blue Line,30647,30,796,1817754.7,1871370.99
2021/07,Blue Line,31862,31,705,1876667.07,1933700.32
2021/08,Blue Line,33119,31,714,1872004.25,1925186.98
2021/09,Blue Line,37414,30,723,1814840.23,1879936.84
2021/10,Blue Line,37535,31,732,1702373.99,1777698.869
2021/11,Blue Line,34122,30,741,1797074.54,1882292.68
2021/12,Blue Line,31493,31,750,1861599.43,1927460.64
2022/01,Blue Line,25722,31,409,1748305.719,1835655.545
2022/02,Blue Line,31707,28,418,1675896.24,1739288.19
2022/03,Blue Line,35898,31,427,1896656.23,1947754.86
2022/04,Blue Line,33976,30,436,1432887.279,1467261.711
2022/05,Blue Line,26065,31,445,578058.6456,645796.6327
2022/06,Blue Line,38402,30,654,1551060.319,1667728.27
2022/07,Blue Line,38968,31,663,1801854.47,1893340.24
2022/08,Blue Line,39631,31,672,1861599.657,1948222.307
2022/09,Blue Line,43929,30,681,1812292.066,1884340.871
2022/10,Blue Line,42534,31,690,1814016.015,1882281.083
2022/11,Blue Line,39821,30,700,1775799.083,1852802.935
2022/12,Blue Line,35359,31,938,1819523.191,1928184.863
2023/01,Blue Line,36004,31,947,1814497.167,1920693.446
2023/02,Blue Line,37976,28,956,1623845.057,1732801.574
2023/03,Blue Line,40967,31,965,1605353.618,1910176.938
2023/04,Blue Line,40869,30,974,1496794.573,1739244.923
2023/05,Blue Line,44476,31,983,1676701.416,1911586.721
2023/06,Blue Line,45378,30,992,1656929.374,1868407.442
2023/07,Blue Line,45760,31,805,1814394.064,1891793.577
2023/08,Blue Line,48872,31,814,1853976.503,1953501.252
2023/09,Blue Line,45067,30,823,1754189.014,1844119.343
2023/10,Blue Line,45890,31,832,1723500.634,1817219.865
2023/11,Blue Line,42756,30,841,1738217.148,1815051.884
2023/12,Blue Line,38170,31,850,1727961.38,1819413.757
2024/01,Blue Line,36693,31,860,1702346.047,1811721.154
2024/02,Blue Line,38868,29,868,1605195.902,1675910.514
2024/03,Blue Line,40634,31,877,1529989.776,1617537.576
2024/04,Blue Line,34057,30,886,1062808.273,1148450.535
2024/05,Blue Line,44305,31,895,1469108.563,1554708.755
2016/01,Green Line,152811,31,57,161379.7261,221500.4929
2016/02,Green Line,166110,29,68,666339.172,977304.7365
2016/03,Green Line,174640,31,79,1382169.812,2049425.603
2016/04,Green Line,186293,30,90,1709713.353,2347937.969
2016/05,Green Line,168334,31,151,2194803.516,2995383.926
2016/06,Green Line,174814,30,162,2137823.173,2974780.287
2016/07,Green Line,166916,31,174,2525461.811,3444138.723
2016/08,Green Line,164410,31,185,2628737.884,3557877.132
2016/09,Green Line,178839,30,196,2448002.956,3263667.233
2016/10,Green Line,174412,31,305,3362158.15,4493015.488
2016/11,Green Line,164997,30,318,3531403.363,4740887.468
2016/12,Green Line,148191,31,329,3629184.15,4801896.926
2017/01,Green Line,145421,33,340,3813725.377,4959708.587
2017/02,Green Line,159492,28,351,841052.957,1089436.09
2017/03,Green Line,161439,31,211,3747738.65,4716659.359
2017/04,Green Line,174165,30,222,3714746.508,4721026.512
2017/05,Green Line,160507,31,233,3948021.581,5103439.419
2017/06,Green Line,169617,30,244,3861590.205,4921245.095
2017/07,Green Line,155534,31,3,3863135.157,4911374.63
2017/08,Green Line,154597,31,16,3757015.52,4823342.023
2017/09,Green Line,172665,30,27,3733393.635,4739955.255
2017/10,Green Line,167182,31,38,3870552.133,5003016.011
2017/11,Green Line,157227,30,49,3750346.997,4843014.469
2017/12,Green Line,133692,31,360,3688841.737,4882132.407
2018/01,Green Line,128798,33,371,3654320.924,4890626.669
2018/02,Green Line,150948,28,382,3603118.87,4583615.38
2018/03,Green Line,146097,31,393,3998022.44,5077685.597
2018/04,Green Line,164062,30,104,4243444.06,5277005.86
2018/05,Green Line,155611,31,115,4250173.528,5484254.29
2018/06,Green Line,156305,30,126,3823780.736,5038476.886
2018/07,Green Line,156607,31,135,3926552.938,5154457.096
2018/08,Green Line,154152,31,144,3834310.573,5108607.136
2018/09,Green Line,169554,30,253,3219267.734,4070446.429
2018/10,Green Line,178821,31,262,2701046.773,3528933.249
